src_ip,dst_ip,src_port,dst_port,protocol,duration,protocoltype,service,flag,srcbytes,dstbytes,wrongfragment,hot,loggedin,numcompromised,rootshell,suattempted,numroot,numfilecreations,numshells,numaccessfiles,ishostlogin,isguestlogin,count,srvcount,serrorrate,srvserrorrate,rerrorrate,srvrerrorrate,samediprate,diffsrvrate,dsthostcount,dsthostsrvcount,dsthostsamedsrvrate,dsthostdiffsrvrate,dsthostserrorrate,dsthostsrvserrorrate,dsthostrerrorrate,dsthostsrvrerrorrate,lastflag,prediction
 2025 16:58:20.408437000 India Standard Time,20.189.173.12,TCP,443,192.168.29.112,0.0,2,2,22,62372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,ANOMALY
 2025 16:58:23.608196000 India Standard Time,192.168.29.112,TLSv1.2,61296,34.237.73.95,0.0,9,9,12,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,ANOMALY
 2025 16:58:23.851243000 India Standard Time,34.237.73.95,TLSv1.2,443,192.168.29.112,0.0,2,2,15,61296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,ANOMALY
 2025 16:58:23.891703000 India Standard Time,192.168.29.112,TCP,61296,34.237.73.95,0.0,9,9,20,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:58:24.034841000 India Standard Time,,ICMPv6,0,,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ANOMALY
 2025 16:58:25.240182000 India Standard Time,192.168.29.112,SSL,61281,34.237.73.95,0.0,9,9,21,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,ANOMALY
 2025 16:58:25.407186000 India Standard Time,192.168.29.112,TCP,62715,204.79.197.203,0.0,4,4,20,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:58:25.421914000 India Standard Time,,ARP,0,,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ANOMALY
 2025 16:58:25.421955000 India Standard Time,,ARP,0,,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,ANOMALY
 2025 16:58:25.427080000 India Standard Time,204.79.197.203,TCP,443,192.168.29.112,0.0,2,2,20,125430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:58:25.427245000 India Standard Time,192.168.29.112,TCP,62715,204.79.197.203,0.0,4,4,20,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:58:25.477160000 India Standard Time,34.237.73.95,TCP,443,192.168.29.112,0.0,2,2,22,61281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,ANOMALY
 2025 16:58:30.288910000 India Standard Time,,UDP,0,,0.0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,ANOMALY
 2025 16:58:30.344730000 India Standard Time,,UDP,0,,0.0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,ANOMALY
 2025 16:58:31.611761000 India Standard Time,192.168.29.189,MDNS,0,224.0.0.251,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANOMALY
 2025 16:58:31.611761000 India Standard Time,,MDNS,0,,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ANOMALY
 2025 16:58:34.274736000 India Standard Time,,ICMPv6,0,,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ANOMALY
 2025 16:58:37.755604000 India Standard Time,192.168.29.189,SSDP,0,239.255.255.250,0.0,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,ANOMALY
 2025 16:58:39.617730000 India Standard Time,192.168.29.112,TLSv1.2,61296,34.237.73.95,0.0,9,9,12,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,ANOMALY
 2025 16:58:39.860869000 India Standard Time,34.237.73.95,TLSv1.2,443,192.168.29.112,0.0,2,2,13,61296,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NORMAL
 2025 16:58:39.902326000 India Standard Time,192.168.29.112,TCP,61296,34.237.73.95,0.0,9,9,20,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,ANOMALY
 2025 16:58:40.939382000 India Standard Time,,TLSv1.2,61222,,0.0,0,0,8,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,ANOMALY
 2025 16:58:40.984102000 India Standard Time,,TLSv1.2,443,,0.0,0,0,10,61222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,ANOMALY
 2025 16:58:41.033616000 India Standard Time,,TCP,61222,,0.0,0,0,24,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ANOMALY
 2025 16:58:41.535675000 India Standard Time,,TCP,62771,,0.0,0,0,28,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:41.555887000 India Standard Time,,TCP,443,,0.0,0,0,28,62771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ANOMALY
 2025 16:58:41.556028000 India Standard Time,,TCP,62771,,0.0,0,0,24,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ANOMALY
 2025 16:58:41.557869000 India Standard Time,,TLSv1.2,62771,,0.0,0,0,34,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,ANOMALY
 2025 16:58:41.574866000 India Standard Time,,TCP,443,,0.0,0,0,24,62771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ANOMALY
 2025 16:58:41.575793000 India Standard Time,,TLSv1.3,443,,0.0,0,0,17,62771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NORMAL
 2025 16:58:41.575871000 India Standard Time,,TCP,62771,,0.0,0,0,24,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ANOMALY
 2025 16:58:41.583147000 India Standard Time,,TLSv1.3,62771,,0.0,0,0,5,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,ANOMALY
 2025 16:58:41.583441000 India Standard Time,,TLSv1.3,62771,,0.0,0,0,23,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,ANOMALY
 2025 16:58:41.601289000 India Standard Time,,TCP,443,,0.0,0,0,24,62771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ANOMALY
 2025 16:58:41.745234000 India Standard Time,,TLSv1.3,443,,0.0,0,0,32,62771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,ANOMALY
 2025 16:58:41.745380000 India Standard Time,,TCP,62771,,0.0,0,0,24,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ANOMALY
 2025 16:58:44.017294000 India Standard Time,192.168.29.112,TCP,62694,104.18.26.90,0.0,1,1,21,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,ANOMALY
